-3.141592741E+00  8.742277657E-08
-3.015928984E+00 -1.253332049E-01
-2.890265226E+00 -2.486899048E-01
-2.764601469E+00 -3.681246042E-01
-2.638937712E+00 -4.817537665E-01
-2.513273954E+00 -5.877853632E-01
-2.387610197E+00 -6.845472455E-01
-2.261946440E+00 -7.705134153E-01
-2.136282682E+00 -8.443281054E-01
-2.010618925E+00 -9.048272371E-01
-1.884955168E+00 -9.510566592E-01
-1.759291410E+00 -9.822873473E-01
-1.633627653E+00 -9.980267882E-01
-1.507963896E+00 -9.980266690E-01
-1.382300138E+00 -9.822871089E-01
-1.256636381E+00 -9.510563016E-01
-1.130972624E+00 -9.048267603E-01
-1.005308867E+00 -8.443275094E-01
-8.796451688E-01 -7.705127597E-01
-7.539814711E-01 -6.845465302E-01
-6.283177733E-01 -5.877846479E-01
-5.026540756E-01 -4.817530215E-01
-3.769903779E-01 -3.681238592E-01
-2.513266802E-01 -2.486891747E-01
-1.256629676E-01 -1.253325045E-01
 7.450580597E-07  7.450580597E-07
 1.256644577E-01  1.253339797E-01
 2.513281703E-01  2.486906201E-01
 3.769918680E-01  3.681252599E-01
 5.026555657E-01  4.817543328E-01
 6.283192635E-01  5.877858400E-01
 7.539829612E-01  6.845476627E-01
 8.796466589E-01  7.705137134E-01
 1.005310416E+00  8.443283439E-01
 1.130974174E+00  9.048274159E-01
 1.256637931E+00  9.510567784E-01
 1.382301688E+00  9.822874069E-01
 1.507965446E+00  9.980267882E-01
 1.633629203E+00  9.980266690E-01
 1.759292960E+00  9.822870493E-01
 1.884956717E+00  9.510561824E-01
 2.010620356E+00  9.048265815E-01
 2.136284113E+00  8.443273306E-01
 2.261947870E+00  7.705125213E-01
 2.387611628E+00  6.845462322E-01
 2.513275385E+00  5.877842307E-01
 2.638939142E+00  4.817525148E-01
 2.764602900E+00  3.681232929E-01
 2.890266657E+00  2.486885190E-01
 3.015930414E+00  1.253317744E-01
 3.141594172E+00 -1.517934265E-06


-3.141592741E+00  1.748455531E-07
-3.015928984E+00 -2.506664097E-01
-2.890265226E+00 -4.973798096E-01
-2.764601469E+00 -7.362492085E-01
-2.638937712E+00 -9.635075331E-01
-2.513273954E+00 -1.175570726E+00
-2.387610197E+00 -1.369094491E+00
-2.261946440E+00 -1.541026831E+00
-2.136282682E+00 -1.688656211E+00
-2.010618925E+00 -1.809654474E+00
-1.884955168E+00 -1.902113318E+00
-1.759291410E+00 -1.964574695E+00
-1.633627653E+00 -1.996053576E+00
-1.507963896E+00 -1.996053338E+00
-1.382300138E+00 -1.964574218E+00
-1.256636381E+00 -1.902112603E+00
-1.130972624E+00 -1.809653521E+00
-1.005308867E+00 -1.688655019E+00
-8.796451688E-01 -1.541025519E+00
-7.539814711E-01 -1.369093060E+00
-6.283177733E-01 -1.175569296E+00
-5.026540756E-01 -9.635060430E-01
-3.769903779E-01 -7.362477183E-01
-2.513266802E-01 -4.973783493E-01
-1.256629676E-01 -2.506650090E-01
 7.450580597E-07  1.490116119E-06
 1.256644577E-01  2.506679595E-01
 2.513281703E-01  4.973812401E-01
 3.769918680E-01  7.362505198E-01
 5.026555657E-01  9.635086656E-01
 6.283192635E-01  1.175571680E+00
 7.539829612E-01  1.369095325E+00
